FACNAME,COURSECODE,NAMEENGLISHABBR,SECTION,TOTALCREDIT,STARTTIME,ENDTIME,TEACHTYPE,BUILDINGNAMEABBR,ROOMNO,INSTRUCTORS,STUDYPROGRAMSYSTEM,TOTALREG
"คณะทันตแพทยศาสตร์","3200504","BIOSTATISTICS",1,2,"1000","1200","LECT","DEN16","208","STAFF","S",140
"คณะทันตแพทยศาสตร์","3200506","GERIATRIC DENT",1,1,"0800","0900","LECT","DEN16","211","STAFF","S",140
"คณะทันตแพทยศาสตร์","3200507","APP CRANIO DIS",1,1,"0800","0900","LECT","DEN16","211","STAFF","S",140
"คณะทันตแพทยศาสตร์","3200603","DENT CLIN EXP I",1,1,"IA","IA","CLIN","DEN16","508","STAFF","S",10
"คณะทันตแพทยศาสตร์","3200712","BIOMED SC II",1,2,"0800","1000","LECT","DEN14","IA","STAFF","S",100
"คณะทันตแพทยศาสตร์","3200712","BIOMED SC II",2,2,"IA","IA","LECT","DEN16","814","STAFF","S",10
"คณะทันตแพทยศาสตร์","3200713","RES METH DENT",1,2,"IA","AR","LECT","DEN16","613","STAFF","I",30
"คณะทันตแพทยศาสตร์","3200714","STAT DENT",1,2,"IA","AR","LECT","DEN16","613","STAFF","I",30
"คณะทันตแพทยศาสตร์","3200716","PROF ETHICS",1,1,"IA","IA","LECT","DEN16","822","STAFF","S",100
"คณะทันตแพทยศาสตร์","3200741","SEM ORAL BIO I",1,1,"1000","1200","SMNA","DEN14","705","STAFF","S",20
"คณะทันตแพทยศาสตร์","3200742","SEM ORAL BIO II",1,1,"1000","1200","SMNA","DEN14","705","STAFF","S",20
"คณะทันตแพทยศาสตร์","3200743","ADV ORAL BIO",1,3,"1000","1200","LECT","DEN14","705","STAFF","S",20
"คณะทันตแพทยศาสตร์","3200743","ADV ORAL BIO",1,3,"1300","1500","LECT","DEN14","705","STAFF","S",20
"คณะทันตแพทยศาสตร์","3200744","ORAL BIO LAB TRG",1,2,"IA","IA","LAB","DEN14","706","STAFF","S",20
"คณะทันตแพทยศาสตร์","3200745","ANAL RDG I",1,1,"1300","1500","SMNA","DEN14","705","STAFF","S",20
"คณะทันตแพทยศาสตร์","3200746","ANAL RDG II",1,1,"1300","1500","SMNA","DEN14","705","STAFF","S",20
"คณะทันตแพทยศาสตร์","3200747","PROG ORAL BIO",1,3,"0900","1200","LECT","IA","IA","STAFF","S",20
"คณะทันตแพทยศาสตร์","3200748","BIOMED RES INST",1,2,"1000","1200","LECT","IA","IA","STAFF","S",20
"คณะทันตแพทยศาสตร์","3200749","BONE BIOLOGY",1,2,"0800","1000","LECT","DEN14","705","STAFF","S",20
"คณะทันตแพทยศาสตร์","3200750","BIO TOOTH PERIO",1,2,"IA","IA","LECT","DEN14","705","STAFF","S",20
"คณะทันตแพทยศาสตร์","3200751","CANCER BIOLOGY",1,2,"IA","IA","LECT","DEN14","705","STAFF","S",20
"คณะทันตแพทยศาสตร์","3200752","PHYSIO NEURO PAIN",1,3,"IA","IA","LECT","DEN14","705","STAFF","S",20
"คณะทันตแพทยศาสตร์","3200753","BIO ECM",1,2,"IA","IA","LECT","DEN14","705","STAFF","S",20
"คณะทันตแพทยศาสตร์","3200755","ADV ORAL BIO RES",1,1,"0800","0900","SMNA","DEN14","705","STAFF","S",20
"คณะทันตแพทยศาสตร์","3200757","IND ORAL BIO",1,2,"IA","IA","IDPS","DEN14","705","STAFF","S",10
"คณะทันตแพทยศาสตร์","3200759","OBIO LAB II",1,2,"IA","IA","LAB","DEN14","706","STAFF","S",10
"คณะทันตแพทยศาสตร์","3200760","ACAD WRITING",1,1,"IA","IA","TUT","DEN14","705","STAFF","S",10
"คณะทันตแพทยศาสตร์","3200800","MASTER THESIS SEM",1,0,"IA","IA","SMNA","DEN14","705","STAFF","S",5
"คณะทันตแพทยศาสตร์","3200811","THESIS",1,12,"IA","IA00","LECT","DEN14","705","STAFF","S",50
"คณะทันตแพทยศาสตร์","3200811","THESIS",2,12,"IA","IA","LECT","IA","IA","STAFF","I",40
"คณะทันตแพทยศาสตร์","3200816","THESIS",1,36,"IA","IA","IDPS","DEN14","705","STAFF","S",5
