FACNAME,COURSECODE,NAMEENGLISHABBR,SECTION,TOTALCREDIT,STARTTIME,ENDTIME,TEACHTYPE,BUILDINGNAMEABBR,ROOMNO,INSTRUCTORS,STUDYPROGRAMSYSTEM,TOTALREG
"คณะอักษรศาสตร์","2232383","GERMAN SYNTAX",1,3,"0930","1130","LECT","BRK","512","WSP","S",30
"คณะอักษรศาสตร์","2232383","GERMAN SYNTAX",1,3,"1130","1230","DISC","BRK","512","WSP","S",30
"คณะอักษรศาสตร์","2232456","ADV GER CONVER",1,3,"0930","1030","LECT","MCS","60113","STAFF","S",30
"คณะอักษรศาสตร์","2232456","ADV GER CONVER",1,3,"1030","1230","DISC","MCS","60113","STAFF","S",30
"คณะอักษรศาสตร์","2232662","INDEPENDENT STUDY",1,0,"IA","IA","IDPS","IA","IA","STAFF","S",5
"คณะอักษรศาสตร์","2232828","DISSERTATION",1,48,"IA","IA","IDPS","IA","IA","STAFF","S",5
"คณะอักษรศาสตร์","2232894","DOC DISSERT SEM",1,0,"IA","IA","SMNA","IA","IA","STAFF","S",5
"คณะอักษรศาสตร์","2233011","SPANISH I",1,3,"0800","0930","LECT","BRK","501","STAFF","I",40
"คณะอักษรศาสตร์","2233011","SPANISH I",1,3,"0800","0930","LECT","BRK","501","STAFF","I",25
"คณะอักษรศาสตร์","2233011","SPANISH I",1,3,"0800","0930","PRAC","BRK","501","STAFF","I",40
"คณะอักษรศาสตร์","2233011","SPANISH I",1,3,"0800","0930","PRAC","BRK","501","STAFF","I",25
"คณะอักษรศาสตร์","2233011","SPANISH I",1,3,"0930","1100","PRAC","BRK","409","SPP","S",40
"คณะอักษรศาสตร์","2233011","SPANISH I",1,3,"0930","1100","PRAC","BRK","409","SPP","S",25
"คณะอักษรศาสตร์","2233011","SPANISH I",1,3,"1100","1230","LECT","BRK","311","SPP","S",40
"คณะอักษรศาสตร์","2233011","SPANISH I",1,3,"1100","1230","LECT","BRK","311","SPP","S",25
"คณะอักษรศาสตร์","2233011","SPANISH I",1,3,"1430","1630","PRAC","BRK","309","STAFF","S",40
"คณะอักษรศาสตร์","2233011","SPANISH I",1,3,"1430","1630","PRAC","BRK","309","STAFF","S",25
"คณะอักษรศาสตร์","2233011","SPANISH I",1,3,"AR","AR","PRAC","AR","AR","STAFF","I",40
"คณะอักษรศาสตร์","2233011","SPANISH I",1,3,"AR","AR","PRAC","AR","AR","STAFF","I",25
"คณะอักษรศาสตร์","2233011","SPANISH I",2,3,"0930","1100","LECT","MCS","60117","PLK","S",40
