FACNAME,COURSECODE,NAMEENGLISHABBR,EXAMDATE,EXAMSTARTTIME,EXAMENDTIME,EXAMTYPE,BUILDINGNAMEABBR,ROOMNO,NUMEXAMSEAT,STUDYPROGRAMSYSTEM
"คณะวิศวกรรมศาสตร์","2108371","PHOTOG RSS",4/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","418",22,"S"
"คณะวิศวกรรมศาสตร์","2108412","SAT SURVEY",3/12/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG3","322",15,"S"
"คณะวิศวกรรมศาสตร์","2109101","ENG MATERIALS",8/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","305",45,"S"
"คณะวิศวกรรมศาสตร์","2109101","ENG MATERIALS",8/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","317",35,"S"
"คณะวิศวกรรมศาสตร์","2109101","ENG MATERIALS",8/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","319",43,"S"
"คณะวิศวกรรมศาสตร์","2109101","ENG MATERIALS",8/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","322",43,"S"
"คณะวิศวกรรมศาสตร์","2109101","ENG MATERIALS",8/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","324",42,"S"
"คณะวิศวกรรมศาสตร์","2109101","ENG MATERIALS",8/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","320",43,"S"
"คณะวิศวกรรมศาสตร์","2109101","ENG MATERIALS",8/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","318",43,"S"
"คณะวิศวกรรมศาสตร์","2109101","ENG MATERIALS",8/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","306",45,"S"
"คณะวิศวกรรมศาสตร์","2109101","ENG MATERIALS",8/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","309",45,"S"
"คณะวิศวกรรมศาสตร์","2109411","MECH BEHAV MAT",30/11/2015,1300,1600,"เรียงตามเลขประจำตัวนิสิต","ENG1","304",32,"S"
"คณะวิศวกรรมศาสตร์","2110101","COMP PROG",3/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","401",50,"S"
"คณะวิศวกรรมศาสตร์","2110101","COMP PROG",3/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","418",45,"S"
"คณะวิศวกรรมศาสตร์","2110101","COMP PROG",3/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","420",51,"S"
"คณะวิศวกรรมศาสตร์","2110101","COMP PROG",3/12/2015,830,1130,"เรียงตามเลขประจำตัวนิสิต","ENG3","419",45,"S"
